Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Organic,,,,Sphere,,,Glial,Oxidative stress,High,Low,,Low,,,,,Brain Disease,Good,Good,Zein-Based Triple-Drug nanoparticles to Promote Anti-Inflammatory Responses for Nerve Regeneration after Spinal Cord Injury,10.1002/adhm.202304261,10.0,100.0,10.0,100.0,,,,,,,,
Hydrogel,,,,Non-Sphere,No,Negative,,Oxidative stress,High,Low,High,Low,Small Rodents,Male,Multiple,Intravenous,Brain Disease,Good,Good,Rod-Shaped Polymeric Nanoparticles Intervene Neutrophils for Efficient Ischemic Stroke Therapy,10.1002/adfm.202212326,10.0,100.0,,,,,,,1.0,50.0,,
Hydrogel,,,,Non-Sphere,No,Negative,Raw 264.7,Oxidative stress,High,,High,,,,,,Brain Disease,Good,Good,Rod-Shaped Polymeric Nanoparticles Intervene Neutrophils for Efficient Ischemic Stroke Therapy,10.1002/adfm.202212326,10.0,100.0,,,,,,,,,,
Hydrogel,,,,Non-Sphere,No,Negative,Raw 264.7,Oxidative stress,High,Low,,Low,,,,,Brain Disease,Good,Good,Rod-Shaped Polymeric Nanoparticles Intervene Neutrophils for Efficient Ischemic Stroke Therapy,10.1002/adfm.202212326,10.0,100.0,,,,,,,,,,
Inorganic,,,,Non-Sphere,,,,Oxidative stress,High,Low ,High,High,Small Rodents,Male,,Intravenous,Spinal Injury,Good,Good,Platinum-Loaded Cerium Oxide Capable of Repairing neuronal Homeostasis for Cerebral Ischemia-Reperfusion Injury Therapy,10.1002/adhm.202303027,,,10.0,100.0,0.0,10.0,,,,,,
Organic,,,,Non-Sphere,No,Negative,,Oxidative stress,High,Low,High,Low,Small Rodents,Male,,,Spinal Injury,Good,Good,A Triple-Role Nano-Therapy by NADH@HMONs-AAL for Precision Treatment of Cognitive Dysfunction Induced by Neuroinflammation through the Nose-Brain Pathway,10.1002/adfm.202402129,10.0,100.0,,,,,10.0,,,,,
Inorganic,,,,Non-Sphere,,,Neuronal,Oxidative stress,High,Low ,High,High,,,,,Spinal Injury,Good,Good,Platinum-Loaded Cerium Oxide Capable of Repairing neuronal Homeostasis for Cerebral Ischemia-Reperfusion Injury Therapy,10.1002/adhm.202303027,,,10.0,100.0,0.0,10.0,,,,,,
Organic,,,,Non-Sphere,No,Negative,Glial,Oxidative stress,High,Low,High,Low,,,,,Spinal Injury,Good,Good,A Triple-Role Nano-Therapy by NADH@HMONs-AAL for Precision Treatment of Cognitive Dysfunction Induced by Neuroinflammation through the Nose-Brain Pathway,10.1002/adfm.202402129,10.0,100.0,,,,,,,,,,
Hybrid,,,,Non-Sphere,,Negative,Glial,,High,Low,High,Low,,,,,Spinal Injury,Good,Good,CpG and Rutin Co-Loaded DNA Tetrahedra for Targeted Therapy of Intracerebral Hemorrhage: Synergistic Hematoma Clearance and Neuroinflammation Inhibition,10.1002/adfm.202403469,,10.0,,,,,,,,,,
Hybrid,,,,Non-Sphere,,Negative,,,High,Low,High,Low,Small Rodents,,,Intravenous,Spinal Injury,Good,Good,CpG and Rutin Co-Loaded DNA Tetrahedra for Targeted Therapy of Intracerebral Hemorrhage: Synergistic Hematoma Clearance and Neuroinflammation Inhibition,10.1002/adfm.202403469,,10.0,,,,,,,,,,
Other,,,,Non-Sphere,,,,,,Low,High,Low,Small Rodents,Both,,Other,Brain Injury,Good,Good,MG-sEVs inhibit microglial activation and promote RGC regeneration after ONC injury,10.1002/adhm.202404306,10.0,100.0,,,,,,,,,,
Hydrogel,,,,Non-Sphere,Yes,,,,,Low,High,Low,Small Rodents,,,Intravenous,Brain Injury,Good,Good,A Self-Gelling Powder Directly Co-Assembled by Natural Small Molecules for Traumatic Brain Injury,DOI: 10.1002/adfm.202401485,200.0,,,,,,,,,,,
Hydrogel,,,,Non-Sphere,Yes,,Glial,,,Low,High,Low,,,,,Brain Injury,Good,Good,A Self-Gelling Powder Directly Co-Assembled by Natural Small Molecules for Traumatic Brain Injury,DOI: 10.1002/adfm.202401485,200.0,,,,,,,,,,,
Hydrogel,,,,,No,,Glial,,,Low,High,Low,,,,Intravenous,Brain Disease,Good,Good,'A Novel 3D-Printed Bi-Layer Cranial-Brain Patch Promotes Brain Injury Repair and Bone Tissue Regeneration,10.1002/adfm.202314330,10.0,100.0,,,,,,,,,,
Hydrogel,,,,,No,,,,,Low,High,Low,Small Rodents,,,Intravenous,Brain Disease,Good,Good,'A Novel 3D-Printed Bi-Layer Cranial-Brain Patch Promotes Brain Injury Repair and Bone Tissue Regeneration,10.1002/adfm.202314330,10.0,100.0,,,,,,,,,,
Hydrogel,,,,Non-Sphere,No,Negative,Neuronal,,,Low,High,Low,,,,Intravenous,Brain Injury,Good,Good,Biosponge-Armored Nanodots Restore Redox-Calcium Homeostasis to Mitigate Reperfusion-Induced Injury in Ischemic Stroke,10.1002/adfm.202503183,,10.0,,,,,,,,,,
Hydrogel,,,,Non-Sphere,No,Negative,,,,Low,High,Low,Small Rodents,,,Intravenous,Brain Injury,Good,Good,Biosponge-Armored Nanodots Restore Redox-Calcium Homeostasis to Mitigate Reperfusion-Induced Injury in Ischemic Stroke,10.1002/adfm.202503183,,10.0,,,,,,,,,,
Other,,,,Sphere,No,,Other,,,Low,High,Low,,,,,Spinal Injury,Good,Good,Magneto-Motivated Intracellular Wireless Nanodischarge System Induces Neural Stem Cell Differentiation and Spinal Cord Injury Repair,10.1002/adfm.202512370,200.0,,,,,,,,,,,
Hydrogel,,,,,,,,,,Low,High,Low,Small Rodents,,,,Brain Disease,Good,Good,Nerve-Derived Extracellular Matrix Promotes Neural Differentiation of Bone Marrow Stromal Cells and Enhances Interleukin-4 Efficacy for Advanced Nerve Regeneration,10.1002/adhm.202402713,,10.0,,,,,,,,,,
Hydrogel,,,,,,,Other,,,Low,High,Low,,,,,Brain Disease,Good,Good,Nerve-Derived Extracellular Matrix Promotes Neural Differentiation of Bone Marrow Stromal Cells and Enhances Interleukin-4 Efficacy for Advanced Nerve Regeneration,10.1002/adhm.202402713,,10.0,,,,,,,,,,
Organic,,,,Sphere,,Negative,Other,,High,,,,Small Rodents,Both,,,Brain Injury,Good,Good,Therapeutic Targeting of the IRF9/RTN4/RHOA/ROCK Pathway via RVG29-Modified PLGA nanoparticles and rTMS for Neural and Vascular Regeneration Post-Cerebral Infarction,10.1002/adhm.202501846,10.0,100.0,100.0,500.0,,,,,,,10.0,
Organic,,,,Sphere,,Negative,,,High,,,,Small Rodents,Both,,,Brain Injury,Good,Good,Therapeutic Targeting of the IRF9/RTN4/RHOA/ROCK Pathway via RVG29-Modified PLGA nanoparticles and rTMS for Neural and Vascular Regeneration Post-Cerebral Infarction,10.1002/adhm.202501846,10.0,100.0,100.0,500.0,,,,,,,10.0,
Inorganic,,,,Non-Sphere,No,,,Oxidative stress,,Low,High,Low,Small Rodents,,,,Brain Injury,Good,Good,In Situ Sprayed Self-Gelling Powder Self-Assembled by a Pure Molecular Drug from Herbal Extract for Rapid Hemostasis and Neuroprotection in Traumatic Brain Injury,,,10.0,,,,,,,,,10.0,100.0
Inorganic,,,,Non-Sphere,No,,Glial,Oxidative stress,,Low,High,Low,,,,,Brain Injury,Good,,In Situ Sprayed Self-Gelling Powder Self-Assembled by a Pure Molecular Drug from Herbal Extract for Rapid Hemostasis and Neuroprotection in Traumatic Brain Injury,,,10.0,,,,,,,,,,
Inorganic,,,,Sphere,,Negative,Neuronal,Ischemia models,High,,,Low,,,,,Brain Disease,Bad,Good,Clusterzyme-Enabled Oxidative Stress Alleviation and Microglial Polarization Modulation for Efficient Ischemic Stroke Treatment,10.1002/adhm.202404268,,,10.0,100.0,,,,,,,,
Inorganic,,,,Sphere,,Negative,Glial,Ischemia models,High,Low,High,,,,,,Brain Disease,Bad,,Clusterzyme-Enabled Oxidative Stress Alleviation and Microglial Polarization Modulation for Efficient Ischemic Stroke Treatment,10.1002/adhm.202404268,,,,,,,,,,,,
Hydrogel,,,,Sphere,No,Negative,,Oxidative stress,High,Low,High,Low,Small Rodents,,Multiple,Intravenous,Brain Disease,Good,Good,Self-Enhancing Drug Pair-Driven Selenium Nanotherapeutics Reverses Microglial Pyroptosis Through NLRP3/Caspase-1 Pathway and Neuronal Apoptosis for Treatment of Spinal Cord Injury,10.1002/adfm.202503505,200.0,,,,,,,,,,10.0,
Hydrogel,,,,Sphere,No,Negative,Glial,Oxidative stress,High,Low,High,Low,,,,,Brain Disease,Good,Good,Self-Enhancing Drug Pair-Driven Selenium Nanotherapeutics Reverses Microglial Pyroptosis Through NLRP3/Caspase-1 Pathway and Neuronal Apoptosis for Treatment of Spinal Cord Injury,10.1002/adfm.202503505,200.0,,,,,,,,,,,
Inorganic,,,,Sphere,Yes,Negative,,,High,High,Low,High,Small Rodents,Male,Multiple,Intranasal,Brain Disease,Bad,Bad,Neurotoxicity of silica nanoparticles: brain localization and dopaminergic neuron damage pathways,10.1021/nn103530b,,,100.0,500.0,,,,,,,,
Inorganic,,,,Sphere,Yes,Negative,Neuronal,,High,High,,High,,,,,Brain Disease,Bad,,Neurotoxicity of silica nanoparticles: brain localization and dopaminergic neuron damage pathways,10.1021/nn103530b,,,100.0,500.0,,,,,,,,
Hydrogel,,,,Non-Sphere,No,,,Neurotoxins,High,Low,High,Low,Small Rodents,,,,Brain Disease,Good,Good,Dual-Defect Engineering of LDH-Based Nanozymes to Enhance Antioxidative Effects in Ischemia Stroke-Reperfusion Injury,10.1002/adfm.202517629,10.0,100.0,1.0,10.0,,,,,,,10.0,
Hydrogel,,,,Non-Sphere,No,,Neuronal,Neurotoxins,High,Low,High,Low,,,,,Brain Disease,Good,Good,Dual-Defect Engineering of LDH-Based Nanozymes to Enhance Antioxidative Effects in Ischemia Stroke-Reperfusion Injury,10.1002/adfm.202517629,10.0,100.0,1.0,10.0,,,,,,,,
Carbon,,,,Non-Sphere,Yes ,,,,,High,Low,Low,Small Rodents,Male,,,Brain Disease,Bad,Bad,Neurobehavioral toxicity of carbon nanotubes in mice,10.1177/0748233716644381,,,,,,,,,1.0,50.0,,
Organic,,,,Sphere,,,Other,,,Low,High,Low,,,,,Spinal Injury,Good,Good,Laminin-Modified Porous GelMA Microspheres Sustain a Pro-Neurogenic Niche for Neural Stem Cells Transplantation in Spinal Cord Injury,10.1002/adfm.202510129,10.0,100.0,,,,,,,,,,
Organic,,,,Sphere,,,,,,Low,High,Low,Small Rodents,,,,Spinal Injury,Good,Good,Laminin-Modified Porous GelMA Microspheres Sustain a Pro-Neurogenic Niche for Neural Stem Cells Transplantation in Spinal Cord Injury,10.1002/adfm.202510129,10.0,100.0,,,,,,,,,,
Inorganic,Silicon Dioxide,fluorescein isothiocyanate,FITC-SiO₂ NPs,,Yes,Negative,Primary,,,,,,,,,,Brain Disease,,,"Silica nanoparticles induce neurodegeneration-like changes in behavior, neuropathology, and affect synapse through MAPK activation",10.1186/s12989-018-0263-3,,,1.0,10.0,,,,,,,,
Inorganic,Silicon Dioxide,fluorescein isothiocyanate,FITC-SiO₂ NPs,,Yes,Negative,,,,High,,Low,Small Rodents,,Multiple,Intranasal,Brain Disease,Bad,Bad,"Silica nanoparticles induce neurodegeneration-like changes in behavior, neuropathology, and affect synapse through MAPK activation",10.1186/s12989-018-0263-3,,,1.0,10.0,,,,,,,10.0,
Inorganic,,,,Sphere,Yes,Positive,,,High,High,,High,Small Rodents,Male,Multiple,Other,Brain Disease,Good,Good,Central neurotoxicity induced by the instillation of ZnO and TiO₂ nanoparticles through the taste nerve pathway,10.2217/nnm-2017-0171,,,,,,,10.0,,,,10.0,100.0
Hydrogel,,,,Non-Sphere,No,,Glial,,,Low,High,Low,Small Rodents,,,,Peripheral Nerve,Good,,Programmable DNA-Peptide Conjugated Hydrogel for Sequential Modulation of Peripheral Nerve Regeneration,10.1002/adfm.202419915,10.0,100.0,,,,,,,,,,
Hydrogel,,,,Non-Sphere,No,,,,,Low,High,Low,Small Rodents,,,,Peripheral Nerve,Good,Good,Programmable DNA-Peptide Conjugated Hydrogel for Sequential Modulation of Peripheral Nerve Regeneration,10.1002/adfm.202419915,10.0,100.0,,,,,,,,,10.0,100.0
Other,,,,Sphere,No,,Other,,,Low,High,Low,,,,,Brain Injury,Good,Good,Active Transport of Biomimetic Cascaded Nanozymes Across Blood-Brain Barrier to Scavenge ROS and Alleviate Neuroinflammation Against Cerebral Ischemia Reperfusion Injury,10.1002/adfm.202520000,10.0,100.0,10.0,100.0,,,,,,,,
Inorganic,,,,Sphere,Yes,Negative,Primary,,High,Low,High,High,,,,,Brain Injury,Good,,Silver nanoparticles induced neurotoxicity through oxidative stress in rat cerebral astrocytes is distinct from the effects of silver ions,10.1016/j.neuro.2015.09.007,,,1.0,10.0,,,,,,,,
Organic,,,,Non-Sphere,No,Negative,Neuronal,Physical stimuli,,Low,High,Low,,,,,Brain Disease,Good,Good,Pathogenesis Activated “In Situ Disassembly-Reassembly” Pattern Dual-Scavenges Cell-Free DNA/ROS for Hemorrhagic Stroke Management,10.1002/adfm.202424358,200.0,,1.0,10.0,,,,,,,,
Organic,,,,Non-Sphere,No,Negative,,Physical stimuli,,Low,High,Low,Small Rodents,,,,Brain Disease,Good,Good,Pathogenesis Activated “In Situ Disassembly-Reassembly” Pattern Dual-Scavenges Cell-Free DNA/ROS for Hemorrhagic Stroke Management,10.1002/adfm.202424358,200.0,,1.0,10.0,,,,,,,10.0,
Inorganic,,,,,No,,Glial,,,Low,High,Low,Small Rodents,,,,Spinal Injury,Good,Good,Zinc-Directed Coordination Network Hydrogels for A20-Mediated Inflammation Modulation and Enhanced Axonal Regeneration in Spinal Cord Injury,10.1002/adfm.202422906,10.0,100.0,,,,,,,,,,
Inorganic,,,,,No,,,,,Low,High,Low,Small Rodents,,,,Spinal Injury,Good,Good,Zinc-Directed Coordination Network Hydrogels for A20-Mediated Inflammation Modulation and Enhanced Axonal Regeneration in Spinal Cord Injury,10.1002/adfm.202422906,10.0,100.0,,,,,,,,,,
Inorganic,,,,Sphere,Yes,Negative,Other,,High,High,,,,,,,Brain Disease,Good,,Silver nanoparticle Induced Blood-Brain Barrier Inflammation and Increased Permeability in Primary Rat Brain Microvessel Endothelial Cells,10.1093/toxsci/kfq244,,,10.0,100.0,,,,,,,,
Organic,,,,Non-Sphere,Yes,,,,,Low,High,Low,Small Rodents,,,,Peripheral Nerve,Good,Good,Substance P/Heparin-Conjugated PLCL Mitigate Acute Gliosis on Neural Implants and Improve Neuronal Regeneration via Recruitment of Neural Stem Cells,10.1002/adhm.202100107,10.0,100.0,,,,,,,,,10.0,
Organic,,,,Non-Sphere,Yes,,Glial,,,Low,High,Low,,,,,Peripheral Nerve,Good,Good,Substance P/Heparin-Conjugated PLCL Mitigate Acute Gliosis on Neural Implants and Improve Neuronal Regeneration via Recruitment of Neural Stem Cells,10.1002/adhm.202100107,10.0,100.0,,,,,,,,,,
Inorganic,,,,Non-Sphere,Yes,,,,,High,Low,High,Fish,,Multiple,Other,Brain Disease,Bad,Bad,Toxic Effects of TiO2 NPs on Zebrafish,https://pmc.ncbi.nlm.nih.gov/articles/PMC6406522/,,,,,,,,,,,,
Organic,,,,Non-Sphere,,Negative,Glial,,High,Low,High,Low,,,,,Brain Injury,Good,Good,Reversing Aβ Fibrillation and Inhibiting Aβ Primary Neuronal Cell Toxicity Using Amphiphilic Polyphenylene Dendrons,10.1002/adhm.202101854,200.0,,,,,,,,,,,
Organic,,,,Non-Sphere,,Negative,,,High,Low,High,Low,Small Rodents,,,,Brain Injury,Good,Good,Reversing Aβ Fibrillation and Inhibiting Aβ Primary Neuronal Cell Toxicity Using Amphiphilic Polyphenylene Dendrons,10.1002/adhm.202101854,200.0,,,,,,,,,,,
Inorganic,,,,,Yes,,,,,High,,High,Fish,,,Other,Brain Disease,Bad,Bad,Mechanism of TiO2 nanoparticle-induced neurotoxicity in zebrafish,10.1002/tox.22031,200.0,,,,,,10.0,,,,,
Organic,,,,Non-Sphere,No,Negative,Glial,,High,Low,High,Low,,,,,Spinal Injury,Good,Good,GDNF-Loaded Polydopamine Nanoparticles-Based Anisotropic Scaffolds Promote Spinal Cord Repair by Modulating Inhibitory Microenvironment,10.1002/adhm.202202377,10.0,100.0,10.0,100.0,,,,,,,,
Organic,,,,Non-Sphere,No,Negative,,,High,Low,High,Low,Small Rodents,,,,Spinal Injury,Good,Good,GDNF-Loaded Polydopamine Nanoparticles-Based Anisotropic Scaffolds Promote Spinal Cord Repair by Modulating Inhibitory Microenvironment,10.1002/adhm.202202377,10.0,100.0,10.0,100.0,,,,,,,10.0,
Inorganic,,,,Sphere,Yes ,,,,,High,,High,Fish,,,Other,Brain Disease,Bad,Bad,Developmental titanium dioxide nanoparticle exposure induces oxidative stress and neurobehavioral changes in zebrafish,10.1016/j.aquatox.2021.105990,,,,,,,0.0,5.0,,,,
Inorganic,,,,Non-Sphere,No,Negative,Raw 264.7,,High,,High,,,,,,Spinal Injury,Good,Good,Magnesium Oxide/Poly(L-lactide-co-e-caprolactone) Scaffolds Loaded with Neural Morphogens Promote Spinal Cord Repair through Targeting the Calcium Influx and Neuronal Differentiation of Neural Stem Cells,10.1002/adhm.202200386,,10.0,,,,,,,,,,
Inorganic,,,,Non-Sphere,No,Negative,,,High,Low,High,,Small Rodents,,,,Spinal Injury,Good,Good,Magnesium Oxide/Poly(L-lactide-co-e-caprolactone) Scaffolds Loaded with Neural Morphogens Promote Spinal Cord Repair through Targeting the Calcium Influx and Neuronal Differentiation of Neural Stem Cells,10.1002/adhm.202200386,,10.0,,,,,,,,,,
Inorganic,,,,Non-Sphere,No,,Other,,High,Low,High,,,,,,Brain Disease,Good,Good,Silicate Nanoplatelets Promotes Neuronal Differentiation of Neural Stem Cells and Restoration of Spinal Cord Injury,10.1002/adhm.202203051,,,,,,,,,,,,
Inorganic,,,,Non-Sphere,No,,,,High,Low,High,,Small Rodents,,,,Brain Disease,Good,Good,Silicate Nanoplatelets Promotes Neuronal Differentiation of Neural Stem Cells and Restoration of Spinal Cord Injury,10.1002/adhm.202203051,,,,,,,,,,,,
Inorganic,,,,Sphere,Yes ,,Neuronal,,High,High,,High,,,,,Brain Disease,Bad,Bad,Effects of titanium dioxide nanoparticles exposure on Parkinsonism in zebrafish larvae and PC12,10.1016/j.chemosphere.2017.01.063,,,100.0,500.0,,,,,,,,
Inorganic,,,,Sphere,Yes ,,,,High,High,,High,Fish,,,Other,Brain Disease,Bad,Bad,Effects of titanium dioxide nanoparticles exposure on Parkinsonism in zebrafish larvae and PC12,10.1016/j.chemosphere.2017.01.063,,,100.0,500.0,,,0.0,5.0,,,,
Inorganic,,,,Non-Sphere,Yes,,,,,High,,,Fish,,,Other,Brain Disease,,Bad,The effect of titanium dioxide on the biochemical constituents of the brain of Zebrafish (Danio rerio): An FT-IR study,10.1016/j.saa.2011.02.038,,,,,,,,,,,,
Other,,,,Sphere,Yes,,,,,Low,,Low,Small Rodents,,,Other,Brain Disease,Good,Good,Blood-Brain Barrier-Penetrating Metal-Organic Framework Antioxidant Nanozymes for Targeted Ischemic Stroke Therapy,10.1002/adhm,100.0,200.0,10.0,100.0,,,,,,,,
Other,,,,Sphere,No,Negative,Neuronal,,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Poly (Betulinic Acid) Nanoparticles Loaded with bFGF Improve Functional Recovery After Spinal Cord Injury,10.1002/adhm.202303462,,10.0,10.0,100.0,,,,,,,,
Other,,,,Sphere,No,Negative,,,High,Low,High,Low,Small Rodents,,,,Spinal Injury,Good,Good,Poly (Betulinic Acid) Nanoparticles Loaded with bFGF Improve Functional Recovery After Spinal Cord Injury,10.1002/adhm.202303462,,10.0,10.0,100.0,,,,,,,10.0,
Inorganic,,,,Sphere,Yes,Positive,Primary,,,,,High,,,,,Brain Disease,Bad,Bad,Mechanisms of TiO2 nanoparticle-induced neuronal apoptosis in rat primary cultured hippocampal neurons,10.1002/jbm.a.35263,,,10.0,100.0,,,,,,,,
Other,,,,Sphere,No,Negative,Neuronal,,High,Low,High,Low,,,,,Brain Injury,Good,Good,Phosphorus Dendrimers Co-deliver Fibronectin and Edaravone for Combined Ischemic Stroke Treatment via Cooperative Modulation of Microglia/Neurons and Vascular Regeneration,10.1002/adhm.202401462,200.0,,10.0,100.0,,,,,,,,
Other,,,,Sphere,No,Negative,,,High,Low,High,Low,Small Rodents,,,,Brain Injury,Good,Good,Phosphorus Dendrimers Co-deliver Fibronectin and Edaravone for Combined Ischemic Stroke Treatment via Cooperative Modulation of Microglia/Neurons and Vascular Regeneration,10.1002/adhm.202401462,200.0,,10.0,100.0,,,,,,,10.0,
Inorganic,,,,Non-Sphere,Yes,,Primary,,,,,,,,,,Brain Disease,Bad,,"Acute, sub-chronic and chronic exposures to TiO2 and Ag nanoparticles differentially affects neuronal function in vitro",10.1016/j.neuro.2022.10.010,200.0,,10.0,100.0,,,,,,,,
Organic,,,,Sphere,No,Negative,Other,,,Low,High,Low,,,,,Brain Disease,Good,Good,BV2 Membrane-Coated PEGylated-Liposomes Delivered hFGF21 to Cortical and Hippocampal Microglia for Alzheimer's Disease Therapy,10.1002/adhm.202400125,10.0,100.0,500.0,,,,,,,,,
Inorganic,,,,Sphere,Yes,Positive,Primary,,High,,,,,,,,Brain Injury,,Bad,Molecular mechanism of nanoparticulate TiO2 induction of axonal development inhibition in rat primary cultured hippocampal neurons,10.1002/tox.22926,200.0,,10.0,100.0,,,,,,,,
Organic,,,,Sphere,No,,,,,Low,High,Low,Small Rodents,,,Other,Spinal Injury,Good,Good,Zein-Based Triple-Drug Nanoparticles to Promote Anti-Inflammatory Responses for Nerve Regeneration after Spinal Cord Injury,10.1002/adhm.202304261,10.0,100.0,100.0,500.0,,,,,,,10.0,
Inorganic,,,,Non-Sphere,Yes,Positive,Neuronal,,,Low,High,Low,,,,,Brain Injury,Good,Good,Platinum-Loaded Cerium Oxide Capable of Repairing Neuronal Homeostasis for Cerebral Ischemia-Reperfusion Injury Therapy,10.1002/adhm.202303027,,,100.0,500.0,,,,,,,,
Hydrogel,,,,Sphere,No,Negative,Neuronal,,High,Low,High,Low,,,,,Brain Injury,Good,Good,"Immunomodulation With Local, Sustained Delivery of Pituitary Adenylate Cyclase Activating Polypeptide Results in Improved Functional Recovery in Stroke-Injured Mice",10.1002/adhm.202500765,,10.0,,,,,,,,,,
Hydrogel,,,,Sphere,No,Negative,,,High,Low,High,Low,Small Rodents,,,,Brain Injury,Good,Good,"Immunomodulation With Local, Sustained Delivery of Pituitary Adenylate Cyclase Activating Polypeptide Results in Improved Functional Recovery in Stroke-Injured Mice",10.1002/adhm.202500765,,10.0,,,,,,,,,,
Other,,,,Non-Sphere,No,,Neuronal,,,Low,High,Low,,,,,Brain Injury,Good,Good,Müller Glial-Derived Small Extracellular Vesicles Mitigate RGC Degeneration by Suppressing Microglial Activation via Cx3cl1-Cx3cr1 Signaling,10.1002/adhm.202404306,,10.0,,,,,,,,,,
Other,,,,Non-Sphere,No,,,,,Low,High,Low,Small Rodents,,,,Brain Injury,Good,Good,Müller Glial-Derived Small Extracellular Vesicles Mitigate RGC Degeneration by Suppressing Microglial Activation via Cx3cl1-Cx3cr1 Signaling,10.1002/adhm.202404306,,10.0,,,,,,,,,10.0,
Inorganic,,,,Non-Sphere,,,,,,Low,High,Low,Small Rodents,,,Other,Brain Disease,Good,Good,DNase1 Mimic TMNCs Disrupt Neutrophil Extracellular Traps and Free Radical Circulation for Ischemic Stroke Therapy,10.1002/adhm.202500693,,10.0,100.0,500.0,,,,,,,10.0,100.0
Other,,,,Non-Sphere,,,Other,,High,High,,High,,,,,Brain Injury,Bad,Bad,Mg2+-Loaded Black Phosphorus Nanosheet Protects against Cerebral Ischemic Injury through Anti-Oxidative and Anti-Inflammatory Effects,10.1002/adhm.202500929,,,1.0,10.0,,,,,,,,
Hydrogel,,,,Non-Sphere,Yes,Negative,Other,,High,High,,High,,,,,Brain Injury,Bad,Bad,Nerve-Derived Extracellular Matrix Promotes Neural Differentiation of Bone Marrow Stromal Cells and Enhances Interleukin-4 Efficacy for Advanced Nerve Regeneration,10.1002/adhm.202402713,200.0,,,,,,,,,,,
Hydrogel,,,,Non-Sphere,Yes,Negative,,,High,High,,High,Small Rodents,,,,Brain Injury,Bad,Bad,Nerve-Derived Extracellular Matrix Promotes Neural Differentiation of Bone Marrow Stromal Cells and Enhances Interleukin-4 Efficacy for Advanced Nerve Regeneration,10.1002/adhm.202402713,200.0,,,,,,,,,,10.0,100.0
Organic,,,,Non-Sphere,Yes,,Neuronal,,,,,Low,,,,,Brain Disease,Good,,Therapeutic Targeting of the IRF9/RTN4/RHOA/ROCK Pathway via RVG29-Modified PLGA Nanoparticles and rTMS for Neural and Vascular Regeneration Post-Cerebral Infarction,10.1002/adhm.202501846,,,100.0,500.0,,,,,,,,
Inorganic,,,,Sphere,No,Negative,Glial,,High,Low,Low,Low,,,,,Brain Disease,Good,Good,Clusterzyme-Enabled Oxidative Stress Alleviation and Microglial Polarization Modulation for Efficient Ischemic Stroke Treatment,10.1002/adhm.202404268,,10.0,10.0,100.0,,,,,,,,
Inorganic,,,,Sphere,No,Negative,,,High,Low,High,Low,Small Rodents,,,,Brain Disease,Good,Good,Clusterzyme-Enabled Oxidative Stress Alleviation and Microglial Polarization Modulation for Efficient Ischemic Stroke Treatment,10.1002/adhm.202404268,,10.0,10.0,100.0,,,,,,,10.0,
Carbon,,,,Sphere,No,,Neuronal,Neurodegenrative peptide,High,,High,,Other Vertebrates,,,,Brain Disease,Good,Good,Chiral carbon dots based on ternary carbon sources: A multifunctional therapeutic agent for Cu2+-induced Alzheimer’s disease,10.1016/j.carbon.2024.119333,,10.0,100.0,500.0,10.0,100.0,,,,,,
Carbon,,,,Sphere,No,,,Neurodegenrative peptide,,,,,Other Vertebrates,,Multiple ,Other,Brain Disease,,Good,Chiral carbon dots based on ternary carbon sources: A multifunctional therapeutic agent for Cu2+-induced Alzheimer’s disease,10.1016/j.carbon.2024.119333,,10.0,100.0,500.0,10.0,100.0,,,,,0.1,10.0
Carbon,,,,Non-Sphere,No,,,,0,,,Low,Fish,Both,Multiple ,Other,Brain I,Bad,Bad,Graphene oxide nanosheets at trace concentrations elicit neurotoxicity in the offspring of zebra fish,10.1016/j.carbon.2017.02.092,,10.0,,,,,10.0,,,,0.1,10.0
Inorganic,Hydroxyapatite,Hydroxyapatite,HANPs,Sphere,Yes,,,,,High,Low,High,Fish,Male,Multiple ,Oral,Brain Disease,Bad,Good,The protective effects of chitosan and curcumin nanoparticles against the hydroxyapatite nanoparticles‑induced neurotoxicity in rats,10.1038/s41598-024-70794-9,100.0,200.0,,,,,,,50.0,,100.0,500.0
Inorganic,,,,Non-Sphere,Yes,,,,,High,,High,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Bad,Bad,Acute neuro‑biochemical changes induced by nitrogen‑tungsten co‑doped titanium dioxide nanoparticles,10.1186/s13765-023-00836-9,,,,,,,,,50.0,,100.0,500.0
